id,asset_type_id,name,manufacturer,model,Cell Type,Power Wattage,Power output tolerance ():,Connector type:,Warranty Type,Phase 1 Years,Phase 1 Percent,Phase 2 Years,Phase 2 Percent,Length (in.),Width (in.),Depth (in.),Weight (lbs.)
,5,BYD 265P6C-36,BYD,265P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 270P6C-30,BYD,270P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 270P6C-36,BYD,270P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 275P6C-30,BYD,275P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 275P6C-36,BYD,275P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 280P6C-30,BYD,280P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 280P6C-36,BYD,280P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 285P6C-36,BYD,285P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 290P6C-36,BYD,290P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 295P6C-36,BYD,295P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 300P6C-36,BYD,300P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 305P6C-36,BYD,305P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 310P6C-36,BYD,310P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 315P6C-36,BYD,315P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 320P6C-36,BYD,320P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 325P6C-36,BYD,325P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 330P6C-36,BYD,330P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 335P6C-36,BYD,335P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 340P6C-36,BYD,340P6C-36,,,,,Linear,25,80,,,,,,
,5,Canadian Solar CS5A-M,Canadian Solar,CS5A-M,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS5A-MF (SunTuile),Canadian Solar,CS5A-MF (SunTuile),,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS5A-MX (NewEdge),Canadian Solar,CS5A-MX (NewEdge),,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS5A-P,Canadian Solar,CS5A-P,,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS5AH-M,Canadian Solar,CS5AH-M,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS5P-M,Canadian Solar,CS5P-M,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS5P-P,Canadian Solar,CS5P-P,,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS5T-M,Canadian Solar,CS5T-M,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6A-M,Canadian Solar,CS6A-M,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6A-MM (ELPS),Canadian Solar,CS6A-MM (ELPS),,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6A-P,Canadian Solar,CS6A-P,,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS6A-PE,Canadian Solar,CS6A-PE,,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS6A-PF (SunTuile),Canadian Solar,CS6A-PF (SunTuile),,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS6A-PM (ELPS),Canadian Solar,CS6A-PM (ELPS),,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS6A-PX (NewEdge),Canadian Solar,CS6A-PX (NewEdge),,,,,Linear,25,80.7,,,,,,
,5,Canadian Solar CS6C-M,Canadian Solar,CS6C-M,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6C-P,Canadian Solar,CS6C-P,,,,,Linear,25,80.7,,,,,,
1808,5,Canadian Solar CS6K-260P-FG,Canadian Solar,CS6K-260P-FG,Poly-crystalline,260,5,MC4 or MC4 comparable,Linear,30,83,,,65,39.05,1.57,41.9
1813,5,Canadian Solar CS6K-265M,Canadian Solar,CS6K-265M,Mono-crystalline,265,5,MC4 or MC4 comparable,Linear,25,80.2,,,62.2,31.81,1.38,31.9
1809,5,Canadian Solar CS6K-265P-FG,Canadian Solar,CS6K-265P-FG,Poly-crystalline,265,5,MC4 or MC4 comparable,Linear,30,83,,,65,39.05,1.57,41.9
1814,5,Canadian Solar CS6K-270M,Canadian Solar,CS6K-270M,Mono-crystalline,270,5,MC4 or MC4 comparable,Linear,25,80.2,,,62.2,31.81,1.38,31.9
,5,Canadian Solar CS6K-M 270W All Black,Canadian Solar,CS6K-M 270W All Black,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 275W,Canadian Solar,CS6K-M 275W,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 275W 1500V,Canadian Solar,CS6K-M 275W 1500V,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 275W All Black,Canadian Solar,CS6K-M 275W All Black,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 280W,Canadian Solar,CS6K-M 280W,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 280W 1500V,Canadian Solar,CS6K-M 280W 1500V,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 280W All Black,Canadian Solar,CS6K-M 280W All Black,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 285W,Canadian Solar,CS6K-M 285W,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M 285W 1500V,Canadian Solar,CS6K-M 285W 1500V,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-M-FG 275W,Canadian Solar,CS6K-M-FG 275W,,,,,Linear,30,81.5,,,,,,
,5,Canadian Solar CS6K-M-FG 280W,Canadian Solar,CS6K-M-FG 280W,,,,,Linear,30,81.5,,,,,,
,5,Canadian Solar CS6K-M-FG 285W,Canadian Solar,CS6K-M-FG 285W,,,,,Linear,30,81.5,,,,,,
,5,Canadian Solar CS6K-MS (SuperPower) 285W All Black,Canadian Solar,CS6K-MS (SuperPower) 285W All Black,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-MS (SuperPower) 290W,Canadian Solar,CS6K-MS (SuperPower) 290W,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-MS (SuperPower) 290W All Black,Canadian Solar,CS6K-MS (SuperPower) 290W All Black,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-MS (SuperPower) 295W,Canadian Solar,CS6K-MS (SuperPower) 295W,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-MS (SuperPower) 295W All Black,Canadian Solar,CS6K-MS (SuperPower) 295W All Black,,,,,Linear,25,80.2,,,,,,
,5,Canadian Solar CS6K-MS (SuperPower) 300W,Canadian Solar,CS6K-MS (SuperPower) 300W,,,,,Linear,25,80.2,,,,,,
